rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
100,1:31.88,,Texas A&M,,INT,1f2,"Austin, TX (USA)",2019-03-30,1147,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.88,USA,,2019
101,1:31.97,,University of Texas,,USA,1f1,"Austin, TX (USA)",2005-04-09,1145,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.97,USA,,2005
102,1:31.98,,Ukraine,,UKR,2,Portsmouth (GBR),1993-06-05,1145,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.98,GBR,,1993
102,1:31.98,,United States,,USA,1,"Philadelphia, PA (USA)",2015-04-25,1145,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.98,USA,,2015
102,1:31.98,,Jamaica,,JAM,2,"Philadelphia, PA (USA)",2015-04-25,1145,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,91.98,USA,,2015
105,1:32.01,,Texas A&M,,USA,2f2,"Austin, TX (USA)",2011-04-09,1144,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.00999999999999,USA,,2011
106,1:32.02,,GC Foster College,,JAM,1h2,"Philadelphia, PA (USA)",2008-04-25,1144,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.02000000000001,USA,,2008
106,1:32.02,,GW Exp,,INT,1f1,"Gainesville, FL (USA)",2013-04-06,1144,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.02000000000001,USA,,2013
108,1:32.03,,Louisiana State,,INT,3,"Philadelphia, PA (USA)",2009-04-25,1144,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.03,USA,,2009
109,1:32.06,,Texas A&M,,INT,3,"Philadelphia, PA (USA)",2007-04-28,1143,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.06,USA,,2007
110,1:32.08,,Pauline Davis Track Club,,INT,2f1,"Knoxville, TN (USA)",2005-04-15,1143,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.08,USA,,2005
111,1:32.12,,South Florida Elite,,INT,1f1,"Gainesville, FL (USA)",2008-04-04,1142,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.12,USA,,2008
112,1:32.16,,France,,FRA,1f1,"International Stadium, Yokohama (JPN)",2019-05-12,1141,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.16,JPN,,2019
112,1:32.16,,South Carolina,,USA,1f3,"Gainesville, FL (USA)",2007-04-06,1141,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.16,USA,,2007
114,1:32.17,,France,,FRA,1,Paris (FRA),1982-07-09,1141,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.17,FRA,,1982
114,1:32.17,,Clemson TC,,INT,1f1,"Knoxville, TN (USA)",2000-04-15,1141,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.17,USA,,2000
116,1:32.23,,France,,FRA,6,"T. Robinson Stadium, Nassau (BAH)",2014-05-25,1140,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.22999999999999,BAH,,2014
117,1:32.24,,Purdue,,USA,1f3,"Des Moines, IA (USA)",2018-04-28,1140,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.24000000000001,USA,,2018
118,1:32.25,,Texas A&M,,USA,2f1,"Philadelphia, PA (USA)",2012-04-28,1140,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.25,USA,,2012
119,1:32.26,,Russia,,URS,3,Moskva (URS),1979-07-29,1139,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.25999999999999,URS,,1979
120,1:32.29,,University of Texas,,INT,1h3,"Philadelphia, PA (USA)",2011-04-29,1139,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.28999999999999,USA,,2011
121,1:32.31,,Texas A&M,,USA,1f2,"Austin, TX (USA)",2009-04-04,1138,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.31,USA,,2009
121,1:32.31,,Auburn,,INT,1h2,"Philadelphia, PA (USA)",2010-04-23,1138,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.31,USA,,2010
123,1:32.33,,Louisiana State,,USA,1f1,"Baton Rouge, LA (USA)",2011-03-26,1138,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.33,USA,,2011
124,1:32.37,,University of Texas,,USA,1f2,"Austin, TX (USA)",2013-03-30,1137,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.37,USA,,2013
125,1:32.38,,Purdue,,USA,2,"Gainesville, FL (USA)",2018-03-31,1137,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.38,USA,,2018
125,1:32.38,,Louisiana State,,USA,3f1,"Philadelphia, PA (USA)",2015-04-25,1137,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.38,USA,,2015
125,1:32.38,,Speed Elite,,USA,1f1,"Gainesville, FL (USA)",2012-04-07,1137,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.38,USA,,2012
125,1:32.38,,UTech,,INT,1h3,"Philadelphia, PA (USA)",2015-04-24,1137,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.38,USA,,2015
129,1:32.39,,Stellar Athletics,,INT,2f1,"Gainesville, FL (USA)",2009-04-03,1137,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.39,USA,,2009
130,1:32.40,,Texas A&M,,INT,1f1,"Tallahassee, FL (USA)",2008-03-28,1137,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.4,USA,,2008
130,1:32.40,,Caribbean All-Stars,,INT,3,"Philadelphia, PA (USA)",2015-04-25,1137,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.4,USA,,2015
132,1:32.41,,Louisiana State,,INT,2f2,"Philadelphia, PA (USA)",2000-04-29,1136,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.41,USA,,2000
132,1:32.41,,Russia,,RUS,1,Glasgow (GBR) (i),2005-01-29,1181,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.41,GBR,,2005
132,1:32.41,,Texas A&M,,INT,1f2,"Austin, TX (USA)",2015-03-28,1136,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.41,USA,,2015
135,1:32.45,,BJPTC,,USA,3f1,"Gainesville, FL (USA)",2014-04-05,1136,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.45,USA,,2014
135,1:32.45,,USC,,USA,2f2,"Austin, TX (USA)",2017-04-01,1136,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.45,USA,,2017
137,1:32.48,,Bulgaria,,BUL,1,Bourges (FRA),1981-06-20,1135,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.47999999999999,FRA,,1981
138,1:32.51,,University of Texas,,INT,3f2,"Austin, TX (USA)",2011-04-09,1135,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.50999999999999,USA,,2011
139,1:32.52,,United States Red,,USA,2f1,"Philadelphia, PA (USA)",2002-04-27,1134,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.52000000000001,USA,,2002
140,1:32.53,,University of Texas,,USA,2f2,"Austin, TX (USA)",2015-03-28,1134,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.53,USA,,2015
140,1:32.53,,Nigeria,,NGR,4,"Philadelphia, PA (USA)",2015-04-25,1134,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.53,USA,,2015
142,1:32.55,,SC Eintracht Hamm,,FRG,1,Dortmund (GER) (i),1988-02-20,1178,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.55,GER,,1988
142,1:32.55,,LG Olympia Dortmund,,GER,1,Karlsruhe (GER) (i),1999-02-21,1178,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.55,GER,,1999
142,1:32.55,,Texas A&M,,USA,1h1,"Philadelphia, PA (USA)",2013-04-26,1134,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.55,USA,,2013
145,1:32.56,,Louisiana State,,INT,2h2,"Philadelphia, PA (USA)",2008-04-25,1134,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.56,USA,,2008
146,1:32.57,,LG Olympia Dortmund,,GER,1f1,Dortmund (GER) (i),2001-02-25,1178,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.57,GER,,2001
147,1:32.60,,University of Texas,,INT,2f2,"Austin, TX (USA)",2016-04-02,1133,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.6,USA,,2016
148,1:32.61,,Total Sports,,INT,1f1,"Lawrence, KS (USA)",2008-04-19,1133,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.61,USA,,2008
149,1:32.62,,United States Red,,USA,1,"Prairie View, TX (USA)",2019-03-23,1133,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.62,USA,,2019
149,1:32.62,,Trinidad and Tobago,,TTO,3h1,"T. Robinson Stadium, Nassau (BAH)",2017-04-22,1133,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.62,BAH,,2017
149,1:32.62,,Texas A&M,,USA,2f2,"Austin, TX (USA)",2013-03-30,1133,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.62,USA,,2013
152,1:32.63,,Trinidad and Tobago,,TTO,4,"T. Robinson Stadium, Nassau (BAH)",2017-04-22,1132,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.63,BAH,,2017
153,1:32.64,,LG Olympia Dortmund,,GER,1,Dortmund (GER) (i),2000-01-30,1176,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.64,GER,,2000
153,1:32.64,,Louisiana State,,INT,1f4,"Baton Rouge, LA (USA)",2012-03-24,1132,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.64,USA,,2012
153,1:32.64,,Star Athletics,,USA,1,"Prairie View, TX (USA)",2021-04-03,1132,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.64,USA,,2021
156,1:32.65,,Texas A&M,,USA,1h5,"Philadelphia, PA (USA)",2011-04-29,1132,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.65,USA,,2011
157,1:32.66,,Rutgers,,USA,2f1,"Philadelphia, PA (USA)",2013-04-27,1132,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.66,USA,,2013
158,1:32.67,,Star Athletics,,USA,2f1,"Gainesville, FL (USA)",2013-04-06,1132,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.67,USA,,2013
158,1:32.67,,United States,,USA,1,"New York, NY (USA) (i)",2018-01-27,1176,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.67,USA,,2018
160,1:32.68,,Tiger Olympians,,INT,1f1,"Baton Rouge, LA (USA)",2009-04-18,1131,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.68,USA,,2009
161,1:32.69,,UTech,,JAM,2,"Philadelphia, PA (USA)",2016-04-30,1131,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.69,USA,,2016
161,1:32.69,,Houston,,USA,4,"Philadelphia, PA (USA)",2010-04-24,1131,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.69,USA,,2010
163,1:32.70,,Louisiana State,,INT,1f1,"Austin, TX (USA)",2006-04-08,1131,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.7,USA,,2006
163,1:32.70,,Texas,,INT,3f2,"Mike A. Myers Stadium, Austin, TX (USA)",2024-03-30,1131,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.7,USA,,2024
165,1:32.72,,South Africa,,RSA,1,Bloemfontein (RSA),1987-03-09,1131,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.72,RSA,,1987
166,1:32.76,,PR of China,,CHN,2f1,"International Stadium, Yokohama (JPN)",2019-05-12,1130,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.75999999999999,JPN,,2019
167,1:32.77,,United States Red,,USA,2,"Philadelphia, PA (USA)",2000-04-29,1130,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.77000000000001,USA,,2000
167,1:32.77,,Louisiana State,,INT,2f1,"Philadelphia, PA (USA)",2005-04-30,1130,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.77000000000001,USA,,2005
169,1:32.78,,South Carolina,,INT,1,"Philadelphia, PA (USA)",2019-04-26,1129,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.78,USA,,2019
170,1:32.81,,UCF,,USA,2f1,"Gainesville, FL (USA)",2011-04-02,1129,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.81,USA,,2011
171,1:32.84,,Texas A&M,,USA,1h1,"Philadelphia, PA (USA)",2012-04-27,1128,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.84,USA,,2012
172,1:32.85,,Auburn,,INT,1h3,"Philadelphia, PA (USA)",2009-04-24,1128,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.85,USA,,2009
172,1:32.85,,Canada,,CAN,2f1,Bourges (FRA),1981-06-20,1128,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.85,FRA,,1981
172,1:32.85,,Tennessee,,INT,1h2,"Philadelphia, PA (USA)",2016-04-29,1128,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.85,USA,,2016
175,1:32.87,,USC,,INT,1f1,"Los Angeles, CA (USA)",2007-03-03,1128,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.87,USA,,2007
176,1:32.88,,LG Olympia Dortmund,,GER,1f1,Dortmund (GER) (i),1999-02-13,1172,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.88,GER,,1999
177,1:32.90,,Texas A&M,,INT,1h1,"Philadelphia, PA (USA)",2015-04-24,1127,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.9,USA,,2015
178,1:32.92,,Tennessee,,USA,2f1,"Knoxville, TN (USA)",2018-04-14,1127,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.92,USA,,2018
179,1:32.93,,Leningrad,,URS,4,Moskva (URS),1979-07-29,1127,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.93,URS,,1979
180,1:32.94,,UTech,,JAM,2,Montego Bay (JAM),2014-02-08,1126,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.94,JAM,,2014
181,1:32.98,,Kentucky,,INT,1f4,"Drake Stadium, Des Moines, IA (USA)",2022-04-29,1126,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,92.97999999999999,USA,,2022
182,1:33.00,,Florida,,INT,1h4,"Philadelphia, PA (USA)",2005-04-29,1125,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,93.0,USA,,2005
182,1:33.00,,South Carolina,,USA,3f1,"Philadelphia, PA (USA)",2014-04-26,1125,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,93.0,USA,,2014
182,1:33.00,,Canada,,CAN,6f1,"Gainesville, FL (USA)",2017-04-01,1125,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,93.0,USA,,2017
182,1:33.00,,South Carolina B,,INT,2f3,"Gainesville, FL (USA)",2019-03-30,1125,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,93.0,USA,,2019
186,1:33.01,,Clemson,,USA,3f1,"Gainesville, FL (USA)",2011-04-02,1125,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,93.00999999999999,USA,,2011
187,1:33.04,,TCU,,USA,1f4,"Franklin Field, Philadelphia, PA (USA)",2025-04-25,1125,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,93.03999999999999,USA,,2025
187,1:33.04,,Arkansas,,INT,4f2,"Austin, TX (USA)",2012-03-31,1125,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,93.03999999999999,USA,,2012
189,1:33.05,,Louisiana State,,INT,1f3,"Austin, TX (USA)",2002-04-06,1124,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,93.05,USA,,2002
189,1:33.05,,Jamaica,,JAM,3f1,"Philadelphia, PA (USA)",2002-04-27,1124,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,93.05,USA,,2002
191,1:33.07,,GC Foster College,,INT,3f1,"Philadelphia, PA (USA)",2013-04-27,1124,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,93.07,USA,,2013
192,1:33.08,,Baylor,,USA,1f3,"Des Moines, IA (USA)",2011-04-29,1124,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,93.08,USA,,2011
192,1:33.08,,Star Athletics,,USA,1f1,"Gainesville, FL (USA)",2015-04-04,1124,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,93.08,USA,,2015
192,1:33.08,,Nigeria,,NGR,5,"T. Robinson Stadium, Nassau (BAH)",2017-04-22,1124,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,93.08,BAH,,2017
195,1:33.09,,Penn State,,INT,4f1,"Philadelphia, PA (USA)",2014-04-26,1124,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,93.09,USA,,2014
196,1:33.11,,Louisiana State,,INT,1h2,"Philadelphia, PA (USA)",2012-04-27,1123,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,93.11,USA,,2012
196,1:33.11,,Empire Athletics B,,INT,2f2,"Mike A. Myers Stadium, Austin, TX (USA)",2025-03-29,1123,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,93.11,USA,,2025
198,1:33.14,,USATF High Performance C,,USA,1f2,"Gainesville, FL (USA)",2019-03-30,1123,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,93.14,USA,,2019
198,1:33.14,,Georgia,,INT,1f1,"Des Moines, IA (USA)",2001-04-28,1123,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,93.14,USA,,2001
200,1:33.15,,Empire Athletics,,INT,7f1,"Gainesville, FL (USA)",2017-04-01,1122,4x200-metres-relay,relays,female,senior,4x200-metres-relay,track,93.15,USA,,2017
